Dice Art Grid (60x60) - Total number of dices = 3600 - Uncovered area ~ 0.19in on each edge.
     1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
  | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1|  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  6  6  6  5  6  6  5  5  5  5  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 2|  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  4  4  5  5  5  5  5  6  6  6  6  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 3|  5  5  5  5  5  5  5  5  5  5  5  5  5  5  4  3  2  2  2  2  2  2  2  2  3  3  4  4  5  6  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 4|  5  5  5  5  5  5  5  5  5  5  5  5  3  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  3  4  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 5|  5  5  5  5  5  5  5  5  5  5  5  3  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  4  4  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 6|  5  5  5  5  5  5  5  5  5  5  3  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  4  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 7|  5  5  5  5  5  5  5  5  4  3  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  3  5  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 8|  5  5  5  5  5  5  5  4  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
 9|  5  5  5  5  5  5  5  3  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  4  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6
